system,SOD,nPRN,vtec_1,vtec_2,vtec_3,stec_1,stec_2,stec_3,roti_1,roti_2,roti_3,ipplat_1,ipplat_2,ipplat_3,ipplon_1,ipplon_2,ipplon_3
QZS,44191,3,-68.48595403511857,-55.2253359899654,-51.188130526678705,-64.49481215026202,-46.37257182729392,-44.55040635050387,0.03780176847866426,0.02848417364843663,0.01782303729277891,20.524292967829684,18.971756665565806,17.592266384218348,101.75927045434946,102.19123708316765,101.07402007468248
QZS,44221,3,-68.44606509709652,-55.228122684619,-51.08967996136423,-64.440560364801,-46.39736603774637,-44.42811826266428,0.01537039880597051,0.01633991661952752,0.0232931761097588,20.52149764186035,18.976959468021768,17.592256565883506,101.76035053005144,102.18633119896656,101.07401878994537
QZS,44251,3,-68.40217217012612,-55.23268283476045,-51.04704692905587,-64.3807588168869,-46.42447266850221,-44.37515107159749,0.03319220445111438,0.02723265998358898,0.017997898417128573,20.51868803676331,18.982151715496844,17.592246736176747,101.76142528563359,102.18144060352094,101.07401750237682
QZS,44281,3,-68.33676332494441,-55.272545514244115,-50.91659160029377,-64.29101143472076,-46.50001153893326,-44.21311523384154,0.017698893306578055,0.027089028765190638,0.022428300174210252,20.515864176457534,18.987333460072314,17.592236895145575,101.76249468936938,102.17656527394993,101.07401621197214
QZS,44311,3,-68.26619172603986,-55.30971734494515,-50.874506995499104,-64.19410848926498,-46.57165781301334,-44.16082892176497,0.03620760063638646,0.04635129752654907,0.021859989873473557,20.513026085077456,18.992504753511575,17.59222704283758,101.76355870972726,102.17170518745243,101.07401491872648
QZS,44341,3,-68.20863358323862,-55.34665168770029,-50.740379676199424,-64.11537080063363,-46.64279014521711,-43.99423239214071,0.017286037269187492,0.05677774771592292,0.010585168085289762,20.5101737869639,18.99766564727698,17.592217179300402,101.76461731537519,102.16686032129245,101.07401362263508
QZS,44371,3,-68.16791124451782,-55.37754656332403,-50.65538746648893,-64.06011698758385,-46.70544379578761,-43.888657798242555,0.03274897715262168,0.06961505152407535,0.016263145143440395,20.507307306668658,19.002816192518495,17.592207304581738,101.76567047517905,102.162030652811,101.07401232369317
QZS,44401,3,-68.11854197984273,-55.4121921546386,-50.53685960054341,-63.992851453410545,-46.77306900250884,-43.74143424546964,0.012060972005338916,0.06189110414687551,0.01079050209997845,20.504426668943406,19.007956440094915,17.592197418729327,101.76671815820744,102.15721615940731,101.07401102189606
QZS,44431,3,-68.08384521518484,-55.46072215935479,-50.432865360916935,-63.94605069720479,-46.85955324420494,-43.61226020414191,0.021629833288167317,0.04967709229974619,0.03142904413366255,20.501531898749256,19.013086440552758,17.59218752179096,101.76776033372859,102.1524168185601,101.074009717239
QZS,44461,3,-68.03292588077566,-55.53262040629414,-50.32010984136181,-63.876691276482696,-46.97785890432241,-43.47220511381881,0.016181747481046636,0.04139773932348223,0.01378001791261378,20.49862302124855,19.018206244140305,17.592177613814503,101.76879697121382,102.14763260781531,101.07400840971722
QZS,44491,3,-67.98248944567011,-55.57787813444842,-50.17690104938391,-63.80803818600851,-47.05943562291876,-43.294329049483174,0.02430977700119348,0.03420496747496673,0.03850929586579871,20.495700061810695,19.023315900796522,17.592167694847863,101.76982804033594,102.1428635047974,101.07400709932614
QZS,44521,3,-67.93987288678856,-55.66996354468619,-50.102667515639,-63.750305015541706,-47.20491223606181,-43.20211515121631,0.019162989251603216,0.03106691472402436,0.021487784660685412,20.492763045999087,19.028415460172628,17.59215776493898,101.77085351097449,102.1381094871911,101.07400578606098
QZS,44551,3,-67.90461689482389,-55.762549108376454,-50.00255299025797,-63.702849120822414,-47.35079977133095,-43.07775874377324,0.02204089948988725,0.021274805451389982,0.03374755439985427,20.48981199958248,19.03350497161087,17.59214782413588,101.77187335321189,102.13337053276173,101.07400446991709
QZS,44581,3,-67.90687084144193,-55.82695446384903,-49.98364030984014,-63.70762811507024,-47.457890219006835,-43.05424924340253,0.019092681598467203,0.03479644142071623,0.018588091068578044,20.48684694852638,19.03858448415746,17.592137872486624,101.77288753733721,102.12864661934465,101.07400315088981
QZS,44611,3,-67.88414939886117,-55.896507242554335,-49.917858217929535,-63.677669555189205,-47.57178939874078,-42.97253109679405,0.011717717568446539,0.05066140573890058,0.03381605454211298,20.483867918993294,19.04365404656029,17.592127910039313,101.77389603384628,102.12393772484812,101.07400182897453
QZS,44641,3,-67.86801040521183,-55.941183806840975,-49.89852147419781,-63.656896354251906,-47.6514905910116,-42.94849481323042,0.0286882634370353,0.03840328110905328,0.04782167835024716,20.48087493734242,19.04871370727027,17.592117936842122,101.77489881344232,102.11924382725348,101.07400050416659
QZS,44671,3,-67.85447636489224,-55.969382912658105,-49.850976352551555,-63.639771591121765,-47.708517257699135,-42.889425567416076,0.03473221073766247,0.04092982132934161,0.07405991435124189,20.477868030127585,19.053763514442473,17.592107952943277,101.7758958470371,102.11456490461504,101.07399917646138
QZS,44701,3,-67.83831219184435,-55.97248361475502,-49.88402239879191,-63.61901134718847,-47.73115325933308,-42.93044512825393,0.031361323642222855,0.01957581164981511,0.06825507913434878,20.474847224096337,19.058803515935313,17.59209795839104,101.77688710575143,102.10990093506173,101.07399784585434
QZS,44731,3,-67.83499590113583,-55.98175172537994,-49.78638072217635,-63.61614640321557,-47.76207532285347,-42.80915912584684,0.03822451404008432,0.04686887761383249,0.08717202900966096,20.47181254618777,19.063833759313326,17.592087953233733,101.77787256091663,102.10525189679603,101.07399651234083
QZS,44761,3,-67.81932477457582,-56.00594047690251,-49.833618957278425,-63.59611834569444,-47.81319255454006,-42.86780443468735,0.029873643309005,0.056422829321898856,0.08315768462475936,20.468764023531577,19.06885429184724,17.592077937519715,101.77885218407482,102.1006177680946,101.07399517591632
